iter	Passed	Remaining
432	1595	2089
433	1599	2086
434	1603	2082
435	1606	2078
436	1610	2074
437	1613	2070
438	1617	2067
439	1620	2063
440	1624	2058
441	1627	2054
442	1631	2050
443	1635	2047
444	1638	2043
445	1642	2039
446	1645	2036
447	1649	2032
448	1653	2028
449	1656	2024
450	1659	2020
451	1662	2016
452	1666	2012
453	1670	2008
454	1673	2004
455	1676	2000
456	1680	1996
457	1684	1992
458	1687	1989
459	1691	1985
460	1695	1982
461	1698	1978
462	1702	1974
463	1705	1970
464	1709	1966
465	1713	1963
466	1717	1959
467	1720	1956
468	1724	1952
469	1728	1948
470	1732	1945
471	1735	1941
472	1738	1937
473	1742	1933
474	1746	1930
475	1749	1926
476	1753	1922
477	1757	1918
478	1760	1914
479	1763	1910
480	1767	1906
481	1771	1903
482	1774	1899
483	1778	1896
484	1782	1892
485	1786	1889
486	1790	1885
487	1793	1881
488	1797	1877
489	1800	1874
490	1803	1869
491	1807	1866
492	1811	1862
493	1814	1858
494	1818	1854
495	1821	1850
496	1824	1846
497	1828	1842
498	1831	1838
499	1835	1835
500	1838	1831
501	1842	1827
502	1846	1824
503	1850	1820
504	1853	1816
505	1856	1812
506	1860	1809
507	1864	1805
508	1867	1801
509	1871	1797
510	1874	1793
511	1878	1790
512	1882	1787
513	1885	1782
514	1889	1779
515	1893	1776
516	1896	1772
517	1900	1768
518	1903	1764
519	1907	1761
520	1912	1758
521	1916	1754
522	1919	1750
523	1923	1747
524	1928	1744
525	1932	1741
526	1935	1737
527	1940	1734
528	1943	1730
529	1947	1726
530	1951	1723
531	1954	1719
532	1958	1716
533	1962	1712
534	1966	1709
535	1971	1706
536	1975	1703
537	1978	1699
538	1982	1695
539	1985	1691
540	1989	1687
541	1992	1683
542	1995	1679
543	1998	1675
544	2002	1671
545	2006	1668
546	2010	1664
547	2013	1660
548	2017	1657
549	2021	1653
550	2024	1649
551	2027	1645
552	2031	1642
553	2034	1638
554	2039	1634
555	2042	1631
556	2046	1627
557	2050	1624
558	2054	1620
559	2057	1616
560	2060	1612
561	2064	1608
562	2067	1605
563	2071	1601
564	2074	1597
565	2078	1593
566	2082	1590
567	2085	1586
568	2089	1582
569	2092	1578
570	2096	1574
571	2099	1571
572	2103	1567
573	2107	1563
574	2110	1560
575	2114	1556
576	2117	1552
577	2121	1548
