,precision,recall,f1-score,support
No Churn,0.8765822784810127,0.8028985507246377,0.8381240544629349,1035.0
Churn,0.5574837310195228,0.6871657754010695,0.615568862275449,374.0
accuracy,0.7721788502484032,0.7721788502484032,0.7721788502484032,0.7721788502484032
macro avg,0.7170330047502678,0.7450321630628536,0.726846458369192,1409.0
weighted avg,0.7918818833421927,0.7721788502484032,0.7790497876935101,1409.0
